timestamp,source,destination,packet_size,packet_type
0,0,2,1,input
0,0,3,1,input
0,0,4,1,input
0,0,5,1,input
0,0,6,1,input
0,0,7,1,input
0,2,8,1,snn1
0,2,9,1,snn1
0,2,10,1,snn1
0,2,11,1,snn1
0,2,12,1,snn1
0,2,13,1,snn1
0,2,14,1,snn1
0,2,8,1,snn1
0,2,9,1,snn1
0,2,10,1,snn1
0,2,11,1,snn1
0,2,12,1,snn1
0,2,13,1,snn1
0,2,14,1,snn1
0,2,8,1,snn1
0,2,9,1,snn1
0,2,10,1,snn1
0,2,11,1,snn1
0,2,12,1,snn1
0,2,13,1,snn1
0,2,14,1,snn1
0,2,8,1,snn1
0,2,9,1,snn1
0,2,10,1,snn1
0,2,11,1,snn1
0,2,12,1,snn1
0,2,13,1,snn1
0,2,14,1,snn1
0,2,8,1,snn1
0,2,9,1,snn1
0,2,10,1,snn1
0,2,11,1,snn1
0,2,12,1,snn1
0,2,13,1,snn1
0,2,14,1,snn1
0,2,8,1,snn1
0,2,9,1,snn1
0,2,10,1,snn1
0,2,11,1,snn1
0,2,12,1,snn1
0,2,13,1,snn1
0,2,14,1,snn1
0,2,8,1,snn1
0,2,9,1,snn1
0,2,10,1,snn1
0,2,11,1,snn1
0,2,12,1,snn1
0,2,13,1,snn1
0,2,14,1,snn1
0,2,8,1,snn1
0,2,9,1,snn1
0,2,10,1,snn1
0,2,11,1,snn1
0,2,12,1,snn1
0,2,13,1,snn1
0,2,14,1,snn1
0,2,8,1,snn1
0,2,9,1,snn1
0,2,10,1,snn1
0,2,11,1,snn1
0,2,12,1,snn1
0,2,13,1,snn1
0,2,14,1,snn1
0,3,8,1,snn1
0,3,9,1,snn1
0,3,10,1,snn1
0,3,11,1,snn1
0,3,12,1,snn1
0,3,13,1,snn1
0,3,14,1,snn1
0,5,8,1,snn1
0,5,9,1,snn1
0,5,10,1,snn1
0,5,11,1,snn1
0,5,12,1,snn1
0,5,13,1,snn1
0,5,14,1,snn1
0,5,8,1,snn1
0,5,9,1,snn1
0,5,10,1,snn1
0,5,11,1,snn1
0,5,12,1,snn1
0,5,13,1,snn1
0,5,14,1,snn1
0,5,8,1,snn1
0,5,9,1,snn1
0,5,10,1,snn1
0,5,11,1,snn1
0,5,12,1,snn1
0,5,13,1,snn1
0,5,14,1,snn1
0,5,8,1,snn1
0,5,9,1,snn1
0,5,10,1,snn1
0,5,11,1,snn1
0,5,12,1,snn1
0,5,13,1,snn1
0,5,14,1,snn1
0,5,8,1,snn1
0,5,9,1,snn1
0,5,10,1,snn1
0,5,11,1,snn1
0,5,12,1,snn1
0,5,13,1,snn1
0,5,14,1,snn1
0,2,8,1,snn1
0,2,9,1,snn1
0,2,10,1,snn1
0,2,11,1,snn1
0,2,12,1,snn1
0,2,13,1,snn1
0,2,14,1,snn1
0,2,8,1,snn1
0,2,9,1,snn1
0,2,10,1,snn1
0,2,11,1,snn1
0,2,12,1,snn1
0,2,13,1,snn1
0,2,14,1,snn1
0,2,8,1,snn1
0,2,9,1,snn1
0,2,10,1,snn1
0,2,11,1,snn1
0,2,12,1,snn1
0,2,13,1,snn1
0,2,14,1,snn1
0,2,8,1,snn1
0,2,9,1,snn1
0,2,10,1,snn1
0,2,11,1,snn1
0,2,12,1,snn1
0,2,13,1,snn1
0,2,14,1,snn1
0,2,8,1,snn1
0,2,9,1,snn1
0,2,10,1,snn1
0,2,11,1,snn1
0,2,12,1,snn1
0,2,13,1,snn1
0,2,14,1,snn1
0,2,8,1,snn1
0,2,9,1,snn1
0,2,10,1,snn1
0,2,11,1,snn1
0,2,12,1,snn1
0,2,13,1,snn1
0,2,14,1,snn1
0,2,8,1,snn1
0,2,9,1,snn1
0,2,10,1,snn1
0,2,11,1,snn1
0,2,12,1,snn1
0,2,13,1,snn1
0,2,14,1,snn1
0,3,8,1,snn1
0,3,9,1,snn1
0,3,10,1,snn1
0,3,11,1,snn1
0,3,12,1,snn1
0,3,13,1,snn1
0,3,14,1,snn1
0,3,8,1,snn1
0,3,9,1,snn1
0,3,10,1,snn1
0,3,11,1,snn1
0,3,12,1,snn1
0,3,13,1,snn1
0,3,14,1,snn1
0,3,8,1,snn1
0,3,9,1,snn1
0,3,10,1,snn1
0,3,11,1,snn1
0,3,12,1,snn1
0,3,13,1,snn1
0,3,14,1,snn1
0,3,8,1,snn1
0,3,9,1,snn1
0,3,10,1,snn1
0,3,11,1,snn1
0,3,12,1,snn1
0,3,13,1,snn1
0,3,14,1,snn1
0,3,8,1,snn1
0,3,9,1,snn1
0,3,10,1,snn1
0,3,11,1,snn1
0,3,12,1,snn1
0,3,13,1,snn1
0,3,14,1,snn1
0,3,8,1,snn1
0,3,9,1,snn1
0,3,10,1,snn1
0,3,11,1,snn1
0,3,12,1,snn1
0,3,13,1,snn1
0,3,14,1,snn1
0,5,8,1,snn1
0,5,9,1,snn1
0,5,10,1,snn1
0,5,11,1,snn1
